name,scientificName,tier,wateringFrequencyDays,fertilizingFrequencyDays,light,soil,petFriendly
Snake Plant,Sansevieria trifasciata,easy,14,60,low,well-draining,False
Spider Plant,Chlorophytum comosum,easy,7,45,bright,well-draining,True
Pothos,Epipremnum aureum,easy,7,45,low,well-draining,False
ZZ Plant,Zamioculcas zamiifolia,easy,14,60,low,well-draining,False
Monstera deliciosa,Monstera deliciosa,standard,7,45,medium,well-draining,False
Peace Lily,Spathiphyllum wallisii,standard,7,45,low,moist,False
Aloe Vera,Aloe barbadensis miller,standard,14,60,direct,cactus,False
Rubber Plant,Ficus elastica,standard,7,45,bright,well-draining,False
Fiddle Leaf Fig,Ficus lyrata,hard,7,45,bright,well-draining,False
Chinese Evergreen,Aglaonema commutatum,easy,10,60,low,well-draining,False
Dracaena marginata,Dracaena marginata,standard,10,60,medium,well-draining,False
Areca Palm,Dypsis lutescens,standard,7,45,bright,well-draining,True
Bird of Paradise,Strelitzia nicolai,standard,7,45,bright,well-draining,False
Parlor Palm,Chamaedorea elegans,easy,10,60,low,well-draining,True
Dieffenbachia,Dieffenbachia seguine,standard,7,45,medium,moist,False
Calathea Medallion,Calathea veitchiana,hard,4,30,medium,moist,True
Philodendron Brasil,Philodendron hederaceum,easy,7,45,medium,well-draining,False
Philodendron Heartleaf,Philodendron scandens,easy,7,45,medium,well-draining,False
Swiss Cheese Vine,Monstera adansonii,standard,7,45,medium,well-draining,False
Hoya Carnosa,Hoya carnosa,easy,10,60,bright,well-draining,True
Jade Plant,Crassula ovata,standard,14,60,bright,cactus,False
Sedum morganianum,Sedum morganianum,standard,14,60,bright,cactus,True
String of Pearls,Senecio rowleyanus,hard,10,60,bright,cactus,False
String of Hearts,Ceropegia woodii,easy,10,60,bright,well-draining,True
Peperomia Watermelon,Peperomia argyreia,easy,7,45,medium,well-draining,True
Peperomia Obtusifolia,Peperomia obtusifolia,easy,10,60,medium,well-draining,True
Pilea Peperomioides,Pilea peperomioides,standard,7,45,bright,peat-based,True
Nerve Plant,Fittonia albivenis,hard,3,30,low,moist,True
Boston Fern,Nephrolepis exaltata,hard,3,30,bright,moist,True
Kimberly Queen Fern,Nephrolepis obliterata,standard,4,30,bright,moist,True
Staghorn Fern,Platycerium bifurcatum,hard,4,30,bright,moist,True
Maidenhair Fern,Adiantum raddianum,hard,2,30,bright,moist,True
Cast Iron Plant,Aspidistra elatior,easy,14,60,low,well-draining,True
Prayer Plant,Maranta leuconeura,standard,4,30,medium,moist,True
Rattlesnake Plant,Calathea lancifolia,hard,4,30,medium,moist,True
ZZ Raven,Zamioculcas zamiifolia 'Raven',easy,14,60,low,well-draining,False
Purple Shamrock,Oxalis triangularis,standard,7,45,bright,well-draining,True
Croton,Codiaeum variegatum,hard,5,30,bright,well-draining,False
Schefflera,Schefflera arboricola,standard,7,45,bright,well-draining,False
Norfolk Island Pine,Araucaria heterophylla,hard,7,45,bright,well-draining,True
Anthurium,Anthurium andraeanum,standard,7,45,bright,well-draining,False
